protected_preview_candidate_id	controlled_draft_item_id	gate_2_input_candidate_id	source_ref	approved_family	hebrew_token	hebrew_phrase	prompt	answer_choices	expected_answer	correct_answer	explanation	source_evidence_note	caution_note	draft_review_status	protected_preview_candidate_status	protected_preview_review_status	answer_key_review_status	distractor_review_status	hebrew_rendering_review_status	context_display_review_status	protected_preview_allowed	reviewed_bank_allowed	runtime_allowed	student_facing_allowed	yossi_protected_preview_decision	yossi_protected_preview_notes
g2ppcand_p2_001	g2cdraft_p2_001	g2p2_002	Bereishis 2:4	basic_noun_recognition	אֶרֶץ	אֶרֶץ וְשָׁמָיִם	What type of word is אֶרֶץ?	noun|action word|describing word|prefix	noun	noun	Teacher-review draft: אֶרֶץ is treated here as a simple noun for review. No advanced grammar label is approved.	Teacher-review draft from a verified token-split clean noun standards row and approved row-level pre-generation review.	Use as non-student-facing exact wording pattern only. Keep noun-recognition wording simple and require teacher review before generation. Do not ask article/prefix/preposition/verb-form/shoresh questions.	yossi_draft_approved	yossi_approved_for_internal_protected_preview_packet	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	approve_for_internal_protected_preview_packet	Approved for internal protected-preview packet only. This is not reviewed-bank approval, runtime approval, student-facing approval, or broad protected-preview release approval.
g2ppcand_p2_002	g2cdraft_p2_002	g2p2_003	Bereishis 2:5	basic_noun_recognition	עֵשֶׂב	וְכׇל עֵשֶׂב הַשָּׂדֶה טֶרֶם יִצְמָח	What type of word is עֵשֶׂב?	noun|action word|describing word|prefix	noun	noun	Teacher-review draft: עֵשֶׂב is treated here as a simple noun for review. No advanced grammar label is approved.	Teacher-review draft from a verified token-split clean noun standards row and approved row-level pre-generation review.	Use as non-student-facing exact wording pattern only. Keep noun-recognition wording simple and require teacher review before generation. Do not ask article/prefix/preposition/verb-form/shoresh questions.	yossi_draft_approved	yossi_approved_for_internal_protected_preview_packet	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	approve_for_internal_protected_preview_packet	Approved for internal protected-preview packet only. This is not reviewed-bank approval, runtime approval, student-facing approval, or broad protected-preview release approval.
g2ppcand_p2_003	g2cdraft_p2_003	g2p2_006	Bereishis 2:8	basic_noun_recognition	גַּן	גַּן בְּעֵדֶן מִקֶּדֶם	What type of word is גַּן?	noun|action word|describing word|prefix	noun	noun	Teacher-review draft: גַּן is treated here as a simple noun for review. No advanced grammar label is approved.	Teacher-review draft from a verified token-split clean noun standards row and approved row-level pre-generation review.	Use as non-student-facing exact wording pattern only. Keep noun-recognition wording simple and require teacher review before generation. Do not ask article/prefix/preposition/verb-form/shoresh questions.	yossi_draft_approved	yossi_approved_for_internal_protected_preview_packet	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	approve_for_internal_protected_preview_packet	Approved for internal protected-preview packet only. This is not reviewed-bank approval, runtime approval, student-facing approval, or broad protected-preview release approval.
g2ppcand_p2_004	g2cdraft_p2_004	g2p2_007	Bereishis 2:9	basic_noun_recognition	עֵץ	כׇּל עֵץ	What type of word is עֵץ?	noun|action word|describing word|prefix	noun	noun	Teacher-review draft: עֵץ is treated here as a simple noun for review. No advanced grammar label is approved.	Teacher-review draft from a verified token-split clean noun standards row and approved row-level pre-generation review.	Use as non-student-facing exact wording pattern only. Keep noun-recognition wording simple and require teacher review before generation. Do not ask article/prefix/preposition/verb-form/shoresh questions.	yossi_draft_approved	yossi_approved_for_internal_protected_preview_packet	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	approve_for_internal_protected_preview_packet	Approved for internal protected-preview packet only. This is not reviewed-bank approval, runtime approval, student-facing approval, or broad protected-preview release approval.
g2ppcand_p2_005	g2cdraft_p2_005	g2p2_009	Bereishis 2:11	basic_noun_recognition	שֵׁם	שֵׁם הָאֶחָד פִּישׁוֹן	What type of word is שֵׁם?	noun|action word|describing word|prefix	noun	noun	Teacher-review draft: שֵׁם is treated here as a simple noun for review. No advanced grammar label is approved.	Teacher-review draft from a verified token-split clean noun standards row and approved row-level pre-generation review.	Use as non-student-facing exact wording pattern only. Keep noun-recognition wording simple and require teacher review before generation. Do not ask article/prefix/preposition/verb-form/shoresh questions.	yossi_draft_approved	yossi_approved_for_internal_protected_preview_packet	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	approve_for_internal_protected_preview_packet	Approved for internal protected-preview packet only. This is not reviewed-bank approval, runtime approval, student-facing approval, or broad protected-preview release approval.
g2ppcand_p2_006	g2cdraft_p2_006	g2p2_014	Bereishis 2:15	basic_noun_recognition	עֵדֶן	וַיַּנִּחֵהוּ בְגַן עֵדֶן	What type of word is עֵדֶן?	noun|action word|describing word|prefix	noun	noun	Teacher-review draft: עֵדֶן is treated here as a simple noun for review. No advanced grammar label is approved.	Teacher-review draft from a verified token-split clean noun standards row and approved row-level pre-generation review.	Use as non-student-facing exact wording pattern only. Keep noun-recognition wording simple and require teacher review before generation. Do not ask article/prefix/preposition/verb-form/shoresh questions.	yossi_draft_approved	yossi_approved_for_internal_protected_preview_packet	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	approve_for_internal_protected_preview_packet	Approved for internal protected-preview packet only. This is not reviewed-bank approval, runtime approval, student-facing approval, or broad protected-preview release approval.
g2ppcand_p2_007	g2cdraft_p2_007	g2p2_016	Bereishis 2:19	basic_noun_recognition	נֶפֶשׁ	וְכֹל אֲשֶׁר יִקְרָא לוֹ הָאָדָם נֶפֶשׁ חַיָּה	What type of word is נֶפֶשׁ?	noun|action word|describing word|prefix	noun	noun	Teacher-review draft: נֶפֶשׁ is treated here as a simple noun for review. No advanced grammar label is approved.	Teacher-review draft from a verified token-split clean noun standards row and approved row-level pre-generation review.	Use as non-student-facing exact wording pattern only. Keep noun-recognition wording simple and require teacher review before generation. Do not ask article/prefix/preposition/verb-form/shoresh questions.	yossi_draft_approved	yossi_approved_for_internal_protected_preview_packet	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	approve_for_internal_protected_preview_packet	Approved for internal protected-preview packet only. This is not reviewed-bank approval, runtime approval, student-facing approval, or broad protected-preview release approval.
g2ppcand_p2_008	g2cdraft_p2_008	g2p2_017	Bereishis 2:21	basic_noun_recognition	בָּשָׂר	וַיִּסְגֹּר בָּשָׂר תַּחְתֶּנָּה	What type of word is בָּשָׂר?	noun|action word|describing word|prefix	noun	noun	Teacher-review draft: בָּשָׂר is treated here as a simple noun for review. No advanced grammar label is approved.	Teacher-review draft from a verified token-split clean noun standards row and approved row-level pre-generation review.	Use as non-student-facing exact wording pattern only. Keep noun-recognition wording simple and require teacher review before generation. Do not ask article/prefix/preposition/verb-form/shoresh questions.	yossi_draft_approved	yossi_approved_for_internal_protected_preview_packet	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	approve_for_internal_protected_preview_packet	Approved for internal protected-preview packet only. This is not reviewed-bank approval, runtime approval, student-facing approval, or broad protected-preview release approval.
g2ppcand_p2_009	g2cdraft_p2_009	g2p2_019	Bereishis 2:23	basic_noun_recognition	אִשָּׁה	לְזֹאת יִקָּרֵא אִשָּׁה	What type of word is אִשָּׁה?	noun|action word|describing word|prefix	noun	noun	Teacher-review draft: אִשָּׁה is treated here as a simple noun for review. No advanced grammar label is approved.	Teacher-review draft from a verified token-split clean noun standards row and approved row-level pre-generation review.	Use as non-student-facing exact wording pattern only. Keep noun-recognition wording simple and require teacher review before generation. Do not ask article/prefix/preposition/verb-form/shoresh questions.	yossi_draft_approved	yossi_approved_for_internal_protected_preview_packet	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	approve_for_internal_protected_preview_packet	Approved for internal protected-preview packet only. This is not reviewed-bank approval, runtime approval, student-facing approval, or broad protected-preview release approval.
g2ppcand_p2_010	g2cdraft_p2_010	g2p2_020	Bereishis 2:24	basic_noun_recognition	אִישׁ	עַל כֵּן יַעֲזָב אִישׁ	What type of word is אִישׁ?	noun|action word|describing word|prefix	noun	noun	Teacher-review draft: אִישׁ is treated here as a simple noun for review. No advanced grammar label is approved.	Teacher-review draft from a verified token-split clean noun standards row and approved row-level pre-generation review.	Use as non-student-facing exact wording pattern only. Keep noun-recognition wording simple and require teacher review before generation. Do not ask article/prefix/preposition/verb-form/shoresh questions.	yossi_draft_approved	yossi_approved_for_internal_protected_preview_packet	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	needs_yossi_review	false	false	false	false	approve_for_internal_protected_preview_packet	Approved for internal protected-preview packet only. This is not reviewed-bank approval, runtime approval, student-facing approval, or broad protected-preview release approval.
